mon_feature_id,date_time,sample_begin_depth,institution_abbr,preservative_abbr,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Station,Qat,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975,1990/12/11 15:30,0,DWS-RQIS,HGCL2,11.6,83.1,237,35.1,0.28,6.42,7.7,52.1,0.1,1.51,,7.56,0.968,3.8,14.9,42,G2H015Q01,G22H,3.647265792,3.560598825,1.202394496
101975,1990/12/18 15:30,0,DWS-RQIS,HGCL2,9.5,59,162,30.5,0.18,5.69,5.8,32.4,0.092,0.98,,7.47,0.548,3.44,11.2,26.3,G2H015Q01,G22H,2.510512776,2.463647761,0.942169346
101975,1991/01/05 14:26,0,DWS-RQIS,HGCL2,10.6,75.7,229,42.4,0.26,6.64,6.3,51.5,0.02,1.27,,8.22,0.987,3.8,13,46.4,G2H015Q01,G22H,3.457259341,3.396282378,0.889714624
101975,1991/01/08 14:15,0,DWS-RQIS,HGCL2,14.3,105.4,301,49.9,0.24,7.72,11.4,63.4,0.06,1.36,,7.48,0.836,3.64,22.2,55.6,G2H015Q01,G22H,4.60878609,4.603999878,0.051951847
101975,1991/01/15 15:00,0,DWS-RQIS,HGCL2,14.7,101.4,277,47.9,0.24,6.75,8.5,58.1,0.06,1.1,,7.94,0.391,2.74,16.9,53.1,G2H015Q01,G22H,4.134810121,4.312775873,-2.106705419
101975,1991/01/29 15:28,0,DWS-RQIS,HGCL2,12.6,95,283,47.2,0.24,7.24,7.9,60.2,0.02,1.08,,8.07,1.154,3.1,14.3,63.4,G2H015Q01,G22H,4.082303345,4.308156037,-2.691779814
101975,1991/02/12 15:27,0,DWS-RQIS,HGCL2,10.4,66.1,210,38,0.2,7.47,6.5,47.2,0.056,1.373,,7.83,1.223,3.95,9.4,43.6,G2H015Q01,G22H,3.300016283,3.000893913,4.74728826
101975,1991/02/26 14:26,0,DWS-RQIS,HGCL2,14.1,107.9,328,56.9,0.22,11.02,9.5,74.3,0.109,1.649,,8.27,1.351,4.25,16.2,68.1,G2H015Q01,G22H,5.00346667,4.819424303,1.873606943
101975,1991/03/05 15:13,0,DWS-RQIS,HGCL2,11.2,76.4,251,43.5,0.2,10.24,6.9,55,0.046,0.203,,8.23,0.748,4.12,13.3,61,G2H015Q01,G22H,3.782257212,3.686329243,1.284419343
101975,1991/03/12 15:42,0,DWS-RQIS,HGCL2,12.1,87.8,271,48.6,0.2,10.29,7.1,58.9,0.107,1.736,,8.38,1.234,4.25,15.4,55.1,G2H015Q01,G22H,4.017838777,3.973233653,0.558186953
